Journal,Quartile,IF
investigational new drugs,Q2,3.4
investigative and clinical urology,Q2,2.9
investigative magnetic resonance imaging,Q4,0.6
investigative ophthalmology visual science,Q1,5.5
investigative radiology,Q1,7.9
investment analysts journal,Q2,2.2
involve a journal of mathematics,Q4,0.2
inzinerine ekonomika engineering economics,Q2,1.9
inzynieria mineralna journal of the polish mineral engineering society,Q4,0.3
ionics,Q2,3.4
iot,Q2,4.3
iowa law review,Q1,1.4
ipotesi revista de estudos literarios,,<0.1
ipri journal,Q4,<0.1
ipsi transactions on internet research,Q4,0.3
iradiology,Q2,2.4
iral international review of applied linguistics in language teaching,Q1,2.7
iran and the caucasus,Q2,0.3
iran journal of the british institute of persian studies,,1.5
iranian biomedical journal,Q3,1.9
iranian heart journal,Q4,0.1
iranian journal of allergy asthma and immunology,Q3,1.5
iranian journal of applied animal science,Q4,0.5
iranian journal of basic medical sciences,Q2,3.2
iranian journal of biotechnology,Q4,1.8
iranian journal of catalysis,Q4,1.9
iranian journal of chemistry chemical engineering international english edition,Q4,1.2
iranian journal of child neurology,Q4,1
iranian journal of earth sciences,Q4,0.6
iranian journal of fisheries sciences,Q4,0.8
iranian journal of fuzzy systems,Q1,1.6
iranian journal of immunology,Q4,1.1
iranian journal of kidney diseases,Q4,0.9
iranian journal of language teaching research,Q2,2.3
iranian journal of management studies,Q4,0.9
iranian journal of materials science and engineering,Q4,0.8
iranian journal of mathematical chemistry,Q3,1.5
iranian journal of mathematical sciences and informatics,Q4,0.4
iranian journal of medical sciences,Q2,1.6
iranian journal of microbiology,Q4,1.9
iranian journal of neonatology,Q4,0.4
iranian journal of nuclear medicine,Q4,0.3
iranian journal of nursing and midwifery research,Q3,1.4
iranian journal of parasitology,Q4,1.3
iranian journal of pediatric hematology and oncology,Q4,0.4
iranian journal of pediatrics,Q4,0.4
iranian journal of pharmaceutical research,Q3,1.7
iranian journal of psychiatry and behavioral sciences,Q4,0.8
iranian journal of psychiatry and clinical psychology,Q4,0.4
iranian journal of public health,Q3,1.9
iranian journal of radiology,Q4,0.1
iranian journal of science,Q3,1.4
iranian journal of science and technology transactions of electrical engineering,Q4,1.6
iranian journal of science and technology transactions of mechanical engineering,Q3,2.1
iranian journal of veterinary research,Q3,0.9
iranian polymer journal,Q3,2.9
iranian red crescent medical journal,Q4,0.2
iranian studies,Q3,0.6
iranica antiqua,,0.2
iraqi journal of hematology,Q4,0.2
irbm,Q3,1.9
iride filosofia e discussione pubblica,,0.1
irish economic and social history,Q2,0.3
irish educational studies,Q2,1.9
irish historical studies,Q3,0.1
irish journal of agricultural and food research,Q3,1.2
irish journal of management,Q4,1.1
irish journal of medical science,Q2,2
irish journal of psychological medicine,Q2,2.5
irish jurist,Q4,0.1
irish political studies,Q3,0.8
irish studies review,,0.7
irish theological quarterly,,0.3
irish university review,,0.1
irish veterinary journal,Q1,2.7
ironmaking steelmaking,Q2,2.1
irrigation and drainage,Q2,1.9
irrigation science,Q1,3.4
isa transactions,Q1,6.6
iscience,Q1,4.5
isecure isc international journal of information security,Q4,0.7
isegoria,,0.2
ish journal of hydraulic engineering,Q4,1.2
isi bilimi ve teknigi dergisi journal of thermal science and technology,Q4,0.7
isij international,Q3,2
isis,Q2,0.8
isj invertebrate survival journal,Q4,0.5
islam and christian muslim relations,,0.5
islam zeitschrift fur geschichte und kultur des islamischen orients,,0.6
islamic law and society,,0.2
islamiyyat the international journal of islamic studies,,0.5
island arc,Q4,0.8
island studies journal,Q3,1
isle interdisciplinary studies in literature and environment,,0.3
islets,Q4,1.4
isme communications,Q1,6.4
isme journal,Q1,10.2
isogloss open journal of romance linguistics,Q3,0.5
isokinetics and exercise science,Q4,0.8
isotopes in environmental and health studies,Q3,1.7
isprs international journal of geo information,Q2,3.2
isprs journal of photogrammetry and remote sensing,Q1,12.9
isprs open journal of photogrammetry and remote sensing,Q1,7
isra international journal of islamic finance,Q3,1.3
israel affairs,Q2,0.7
israel journal of chemistry,Q3,2.1
israel journal of ecology evolution,Q4,0.5
israel journal of health policy research,Q2,2.4
israel journal of mathematics,Q2,0.9
israel journal of plant sciences,Q4,0.6
israel journal of veterinary medicine,Q4,0.7
israel law review,Q1,2.5
israel medical association journal,Q3,0.8
israel studies,Q2,0.7
israel studies review,Q2,0.7
israeli journal of aquaculture bamidgeh,Q4,0.8
issues in accounting education,Q2,2.1
issues in educational research,Q2,1.4
issues in law medicine,Q4,0.2
issues in mental health nursing,Q2,2
issues in science and technology,Q3,1.4
issues studies,Q3,0.4
istanbul business research,Q4,0.6
istanbul hukuk mecmuasi,Q4,0.1
istanbul iktisat dergisi istanbul journal of economics,Q4,0.4
istanbul journal of pharmacy,Q4,0.5
istanbul medical journal,Q4,0.2
istanbul universitesi sosyoloji dergisi istanbul university journal of sociology,Q4,0.3
istorija,Q3,0.1
istorija 20 veka,Q3,0.2
istoriya elektronnyi nauchno obrazovatelnyi zhurnal,Q2,0.3
istoriya history,Q3,0.2
it information technology,Q4,0.7
it professional,Q3,2.2
italian culture,,0.2
italian economic journal,Q2,1.7
italian geotechnical journal rivista italiana di geotecnica,Q4,0.7
italian journal of agrometeorology rivista italiana di agrometeorologia,Q3,1
italian journal of agronomy,Q1,3
italian journal of animal science,Q1,2.6
italian journal of dermatology and venereology,Q3,2.1
italian journal of engineering geology and environment,Q4,1
italian journal of food safety,Q4,1.5
italian journal of geosciences,Q3,1.3
italian journal of linguistics,Q3,0.8
italian journal of medicine,Q4,0.4
italian journal of pediatrics,Q1,3.5
italian journal of planning practice,,0.4
italian journal of pure and applied mathematics,Q4,0.2
italian journal of vascular and endovascular surgery,Q4,0.2
italian political science review rivista italiana di scienza politica,Q3,1.4
italian studies,,0.2
italianist,,0.2
italianistica rivista di letteratura italiana,,<0.1
italiano linguadue,,0.4
italica belgradensia,,0.1
ite journal institute of transportation engineers,Q4,0.1
ite transactions on media technology and applications,Q4,0.3
itea informacion tecnica economica agraria,Q4,0.3
itineraria,,<0.1
itinerario journal of imperial and global interactions,Q2,0.3
itinerarios revista de literatura,,0.1
itl international journal of applied linguistics,Q2,1.2
iubmb life,Q3,3.2
iucrj,Q1,3.5
ius canonicum,Q3,0.3
ius humani revista de derecho,Q3,0.3
izquierdas,Q4,0.2
izvestiya atmospheric and oceanic physics,Q4,0.6
izvestiya instituta matematiki i informatiki udmurtskogo gosudarstvennogo universiteta,Q3,0.5
izvestiya mathematics,Q3,0.7
izvestiya of saratov university mathematics mechanics informatics,Q4,0.3
izvestiya physics of the solid earth,Q4,0.7
izvestiya uralskogo federalnogo universiteta seriya 2 gumanitarnye nauki,,0.2
izvestiya vuzov prikladnaya khimiya i biotekhnologiya,Q4,0.3
izvestiya vysshikh uchebnykh zavedenii khimiya i khimicheskaya tekhnologiya,Q4,0.8
izvestiya vysshikh uchebnykh zavedeniy prikladnaya nelineynaya dinamika,Q4,0.4
j19 the journal of nineteenth century americanists,,0.2
ja clinical reports,Q3,1.2
jaacap open,Q1,3.1
jaad international,Q1,6.5
jaapa journal of the american academy of physician assistants,Q3,0.9
jac antimicrobial resistance,Q2,3.9
jacc advances,Q1,5.5
jacc asia,Q1,6.1
jacc basic to translational science,Q1,8.4
jacc cardiooncology,Q1,15.5
jacc cardiovascular imaging,Q1,19
jacc cardiovascular interventions,Q1,12.7
jacc clinical electrophysiology,Q1,7.2
jacc heart failure,Q1,11.9
jacc journal of the american college of cardiology,Q1,22.3
jacs au,Q1,8.5
jahrbuch der berliner museen,,<0.1
jahrbuch der oesterreichischen byzantinistik,,0.1
jahrbuch fur internationale germanistik,,<0.1
jahrbuch fur wirtschaftsgeschichte,Q1,0.6
jahrbucher fur geschichte osteuropas,Q3,0.2
jahrbucher fur nationalokonomie und statistik,Q3,1.2
jaids journal of acquired immune deficiency syndromes,Q3,2.3
jama cardiology,Q1,15.2
jama dermatology,Q1,10.9
jama health forum,Q1,12.5
jama internal medicine,Q1,26.3
jama journal of the american medical association,Q1,65.4
jama network open,Q1,11.7
jama neurology,Q1,23.6
jama oncology,Q1,23.9
jama ophthalmology,Q1,10.5
jama otolaryngology head neck surgery,Q1,7
jama pediatrics,Q1,17.1
jama psychiatry,Q1,18
jama surgery,Q1,15.6
jamba journal of disaster risk studies,Q2,1.5
james joyce quarterly,,0.1
jamia open,Q1,4.7
janac journal of the association of nurses in aids care,Q3,1.4
janus estudios sobre el siglo de oro,,1.5
japan and the world economy,Q2,1.7
japan architectural review,,0.5
japan forum,Q3,0.4
japan journal of industrial and applied mathematics,Q2,1.3
japan journal of nursing science,Q3,1.8
japan review,,0.1
japanese accounting review,Q4,<0.1
japanese dental science review,Q1,8.1
japanese economic review,Q4,0.6
japanese journal of applied entomology and zoology,Q4,0.4
japanese journal of applied physics,Q4,1.7
japanese journal of clinical oncology,Q3,2.5
japanese journal of infectious diseases,Q4,1.1
japanese journal of mathematics,Q1,1.3
japanese journal of ophthalmology,Q2,2.7
japanese journal of political science,Q2,1.6
japanese journal of radiology,Q1,4.6
japanese journal of religious studies,,0.4
japanese journal of sociology,Q4,0.6
japanese journal of statistics and data science,Q3,1
japanese journal of veterinary research,Q3,0.8
japanese political economy,Q3,0.9
japanese psychological research,Q4,0.6
japanese studies,Q3,0.4
japanese studies in russia,Q4,0.1
jaro journal of the association for research in otolaryngology,Q1,2.9
jarq japan agricultural research quarterly,Q4,0.5
jasa express letters,Q3,1.5
jasss the journal of artificial societies and social simulation,Q1,2.9
jati journal of southeast asian studies,Q3,0.5
javma journal of the american veterinary medical association,Q2,2.3
javnost the public,Q2,1.7
jazz research journal,,0.4
jbi evidence implementation,Q2,2
jbi evidence synthesis,Q1,6.8
jbjs essential surgical techniques,Q2,2.4
jbjs open access,Q1,4.9
jbjs reviews,Q1,2.8
jbmr plus,Q3,3
jci insight,Q1,6.8
jcis open,Q1,7.5
jcms journal of cinema and media studies,,0.6
jcms journal of common market studies,Q1,4
jco clinical cancer informatics,Q2,3.6
jco global oncology,Q2,3.8
jco oncology practice,Q1,5.5
jco precision oncology,Q2,4.7
jcom journal of science communication,Q2,2.1
jcpp advances,Q1,4.1
jcpsp journal of the college of physicians and surgeons pakistan,Q3,1.1
jcr journal of clinical rheumatology,Q3,1.9
jdr clinical translational research,Q2,2
jds communications,Q2,2.4
jeadv clinical practice,Q4,0.7
jebat malaysian journal of history politics and strategic studies,Q2,0.4
jetp letters,Q3,1.1
jeu revue de theatre,,<0.1
jeunesse young people texts cultures,,0.3
jewish historical studies transactions of the jewish historical society of england,Q3,0.2
jewish history,Q2,0.4
jewish social studies,,0.8
jewish studies quarterly,,0.4
jezikoslovlje,,0.2
jfr journal of family research,Q3,1.2
jgh open,Q4,1.6
jhep reports,Q1,8.7
jid innovations,Q2,3
jimd reports,Q4,1.6
jims8m the journal of indian management strategy,Q4,0.2
jirss journal of the iranian statistical society,Q4,0.1
jlis it,Q4,0.4
jma journal,Q2,2
jmir aging,Q1,4.6
jmir ai,Q1,6.1
jmir cancer,Q3,2.6
jmir cardio,Q2,2.4
jmir dermatology,Q2,3.4
jmir diabetes,Q2,2.9
jmir formative research,Q2,2.4
jmir human factors,Q1,3.9
jmir infodemiology,Q1,4
jmir medical education,Q1,13.9
jmir medical informatics,Q2,5
jmir mental health,Q1,7.4
jmir mhealth and uhealth,Q1,6.3
jmir nursing,Q1,5
jmir pediatrics and parenting,Q2,2.3
jmir perioperative medicine,Q2,2.4
jmir public health and surveillance,Q1,4.4
jmir rehabilitation and assistive technologies,Q1,3.1
jmir research protocols,Q3,1.6
jmir serious games,Q1,4.7
jmir xr and spatial computing,Q3,1.8
jmm international journal on media management,Q4,0.3
jnci cancer spectrum,Q2,4.8
jnci journal of the national cancer institute,Q1,7.7
jnp the journal for nurse practitioners,Q4,0.9
jnt journal of narrative theory,,0.3
jognn journal of obstetric gynecologic and neonatal nursing,Q2,2.1
johns hopkins apl technical digest,Q4,0.2
johnson matthey technology review,Q4,1.7
joint bone spine,Q1,5
joint commission journal on quality and patient safety,Q2,3
joint diseases and related surgery,Q2,2.5
jokull,Q4,0.3
jom,Q2,2.3
jomr journal of oral maxillofacial research,Q3,1.6
jor spine,Q1,3.9
jordan journal of chemistry,Q4,0.4
jordan journal of civil engineering,Q4,1.1
jordan journal of electrical engineering,Q4,0.8
jordan journal of mathematics and statistics,Q3,0.5
jordan journal of modern languages literature,,0.2
jordan journal of physics,Q4,0.5
jordanian journal of computers and information technology,Q4,0.7
jornal brasileiro de nefrologia,Q3,1.6
jornal brasileiro de pneumologia,Q2,3.6
jornal brasileiro de reproducao assistida,Q3,1.7
jornal de pediatria,Q1,3
jornal vascular brasileiro,Q4,1.1
joule,Q1,37.1
journal asiatique,,<0.1
journal awwa,Q4,0.5
journal d analyse mathematique,Q1,1.3
journal de l ecole polytechnique mathematiques,Q2,1
journal de la societe des americanistes,Q4,<0.1
journal de mathematiques pures et appliquees,Q1,2.6
journal de mycologie medicale,Q3,2.4
journal de theorie des nombres de bordeaux,Q4,0.2
journal der deutschen dermatologischen gesellschaft,Q1,5
journal for critical education policy studies,Q4,0.3
journal for cultural research,Q2,0.6
journal for educational research online jero,Q4,0.2
journal for eighteenth century studies,,0.3
journal for european environmental planning law,Q1,2
journal for general philosophy of science,Q2,0.9
journal for geometry and graphics,Q4,0.2
journal for healthcare quality,Q4,1.1
journal for immunotherapy of cancer,Q1,11.7
journal for international business and entrepreneurship development,Q4,1.3
journal for labour market research,Q3,1.5
journal for multicultural education,Q2,1.5
journal for nature conservation,Q2,2.7
journal for nurses in professional development,Q4,1
journal for peace and nuclear disarmament,Q3,1
journal for research in mathematics education,Q1,4.1
journal for specialists in group work,Q3,1.2
journal for specialists in pediatric nursing,Q3,1.1
journal for the academic study of religion,,0.1
journal for the education of the gifted,Q2,1.6
journal for the history of astronomy,Q2,0.9
journal for the history of modern theology zeitschrift fur neuere theologiegeschichte,,0.1
journal for the measurement of physical behaviour,Q3,1.5
journal for the scientific study of religion,Q2,2.3
journal for the study of christian culture,,<0.1
journal for the study of education and development,Q4,1.4
journal for the study of judaism,Q1,1.1
journal for the study of religion,,0.1
journal for the study of religion nature and culture,,0.4
journal for the study of religions and ideologies,,0.4
journal for the study of spirituality,,0.9
journal for the study of sports and athletes in education,Q4,<0.1
journal for the study of the historical jesus,,0.4
journal for the study of the new testament,,0.4
journal for the study of the old testament,,0.2
journal for the study of the pseudepigrapha,,0.3
journal for the theory of social behaviour,Q3,1.7
journal francais d ophtalmologie,Q4,1
journal fur die reine und angewandte mathematik,Q1,1.6
journal fur endokrinologie diabetologie und stoffwechsel,Q4,0.2
journal fur hypertonie,Q4,<0.1
journal fur kardiologie,Q4,<0.1
journal fur kulturpflanzen,Q4,0.6
journal fur mathematik didaktik,Q3,0.9
journal of aapos,Q3,1.3
journal of abdominal wall surgery,Q1,3.6
journal of academic ethics,Q1,2.9
journal of academic language and learning,Q1,3.4
journal of academic librarianship,Q2,2.9
journal of academic research in medicine jarem,Q3,0.5
journal of accounting and organizational change,Q2,3.5
journal of accounting and public policy,Q2,2.2
journal of accounting auditing and finance,Q3,1.3
journal of accounting economics,Q1,7.8
journal of accounting in emerging economies,Q1,3.8
journal of accounting literature,Q1,4.8
journal of accounting research,Q1,10.4
journal of accounting review,Q4,0.3
journal of active and passive electronic devices,Q4,0.3
journal of activity sedentary and sleep behaviors,Q1,3.3
journal of acupuncture and meridian studies,Q3,1.3
journal of acupuncture and tuina science,Q4,0.7
journal of acute care physical therapy,Q4,0.5
journal of acute disease,Q4,0.5
journal of acute medicine,Q3,1.1
journal of adaptation in film performance,,0.1
journal of addiction medicine,Q2,3.1
journal of addictions nursing,Q4,0.9
journal of addictions offender counseling,Q4,1.1
journal of addictive diseases,Q3,1.7
journal of adhesion,Q2,2.6
journal of adhesion science and technology,Q2,3.4
journal of adhesive dentistry,Q2,2.7
journal of adolescence,Q1,3.2
journal of adolescent adult literacy,Q2,1.5
journal of adolescent and young adult oncology,Q4,1.6
journal of adolescent health,Q1,4.2
journal of adolescent research,Q2,2.1
journal of adult and continuing education,Q3,1
journal of adult development,Q2,2.1
journal of adult protection,Q3,1
journal of advanced academics,Q3,1.2
journal of advanced applied scientific research,Q4,0.5
journal of advanced ceramics,Q1,14
journal of advanced computational intelligence and intelligent informatics,Q4,0.7
journal of advanced concrete technology,Q3,2.2
journal of advanced dielectrics,Q2,3.3
journal of advanced joining processes,Q1,4.4
journal of advanced manufacturing systems,Q4,1
journal of advanced mechanical design systems and manufacturing,Q4,1
journal of advanced nursing,Q1,3.8
journal of advanced oral research,Q4,0.8
journal of advanced prosthodontics,Q2,2
journal of advanced research,Q1,17.1
journal of advanced simulation in science and engineering,Q4,0.2
journal of advanced transportation,Q3,2.2
journal of advanced veterinary and animal research,Q2,1.9
journal of advances in information technology,Q4,1.3
journal of advances in management research,Q3,2.8
journal of advances in modeling earth systems,Q2,4.6
journal of adventure education and outdoor learning,Q2,1.6
journal of advertising,Q1,7.7
journal of advertising research,Q1,3.3
journal of aeronautics astronautics and aviation,Q3,1.3
journal of aerosol medicine and pulmonary drug delivery,Q3,2.2
journal of aerosol science,Q2,2.9
journal of aerospace engineering,Q3,1.6
journal of aerospace information systems,Q2,1.9
journal of aerospace technology and management,Q3,1.3
journal of aesthetic education,,0.7
journal of aesthetics and art criticism,,0.9
journal of aesthetics and phenomenology,,0.3
journal of aesthetics culture,Q2,1
journal of affective disorders,Q1,5.7
journal of affective disorders reports,Q2,3
journal of african american studies,Q3,0.6
journal of african archaeology,,0.9
journal of african business,Q3,1.5
journal of african cinemas,,<0.1
journal of african cultural studies,Q2,0.7
journal of african development,Q4,0.9
journal of african earth sciences,Q2,2.5
journal of african economies,Q3,1.3
journal of african history,Q1,1.3
journal of african languages and linguistics,Q3,0.7
journal of african law,Q3,0.4
journal of african media studies,Q3,0.3
journal of african military history,Q3,0.2
journal of africana religions,,0.2
journal of aggression conflict and peace research,Q3,1.2
journal of aggression maltreatment trauma,Q2,1.6
journal of aging and environment,Q4,1.2
journal of aging and health,Q2,2.2
journal of aging and physical activity,Q3,1.7
journal of aging and social change,Q4,0.6
journal of aging research,Q4,2
journal of aging social policy,Q3,1.8
journal of aging studies,Q2,2.4
journal of agrarian change,Q1,4.1
journal of agribusiness in developing and emerging economies,Q2,2.5
journal of agricultural and applied economics,Q2,1.7
journal of agricultural and food chemistry,Q1,6.7
journal of agricultural and resource economics,Q3,1.3
journal of agricultural biological and environmental statistics,Q3,1.1
journal of agricultural economics,Q1,5.5
journal of agricultural education extension,Q2,2.3
journal of agricultural engineering,Q2,3.1
journal of agricultural engineering india,Q4,0.9
journal of agricultural environmental ethics,Q1,1.7
journal of agricultural extension,Q3,1.4
journal of agricultural food information,Q4,0.6
journal of agricultural machinery,Q4,0.6
journal of agricultural meteorology,Q2,1.5
journal of agricultural safety and health,Q4,1
journal of agricultural science,Q2,2.3
journal of agricultural science and technology,Q2,1.9
journal of agricultural sciences,Q3,0.8
journal of agricultural sciences tarim bilimleri dergisi,Q2,1.5
journal of agriculture and environment for international development,Q3,1.3
journal of agriculture and food research,Q1,7.2
journal of agriculture food systems and community development,Q2,2.1
journal of agromedicine,Q3,1.6
journal of agronomy and crop science,Q1,3.2
journal of air transport management,Q2,4.6
journal of aircraft,Q2,2.4
journal of al tamaddun,,0.8
journal of algebra,Q2,0.8
journal of algebra and its applications,Q3,0.5
journal of algebraic combinatorics,Q2,0.9
journal of algebraic geometry,Q1,1.6
journal of algebraic systems,Q4,0.4
journal of algorithms computational technology,Q4,1.7
journal of allergy and clinical immunology,Q1,11.7
journal of allergy and clinical immunology global,Q3,2.6
journal of allergy and clinical immunology in practice,Q1,7.2
journal of alloys and compounds,Q1,6.7
journal of alloys and metallurgical systems,Q1,4.8
journal of alternative investments,Q4,0.7
journal of alzheimers disease,Q2,3.4
journal of alzheimers disease reports,Q3,3.1
journal of ambient intelligence and smart environments,Q3,1.9
journal of ambulatory care management,Q4,1.3
journal of american college health,Q2,1.5
journal of american culture,,0.1
journal of american east asian relations,Q4,<0.1
journal of american ethnic history,Q1,0.7
journal of american folklore,,0.3
journal of american history,Q1,0.7
journal of american studies,,0.3
journal of anaesthesiology clinical pharmacology,Q4,1.5
journal of analysis,Q1,1.7
journal of analysis and testing,Q1,9.4
journal of analytical and applied pyrolysis,Q1,6.7
journal of analytical atomic spectrometry,Q1,3.3
journal of analytical chemistry,Q4,1.5
journal of analytical methods in chemistry,Q3,2.1
journal of analytical psychology,Q2,0.5
journal of analytical science and technology,Q3,2.4
journal of analytical toxicology,Q3,2.7
journal of anatomy,Q2,2.2
journal of ancient history and archaeology,,0.2
journal of ancient judaism,,0.5
journal of ancient near eastern history,Q2,0.3
journal of ancient near eastern religions,Q2,0.3
journal of anesthesia,Q2,2.8
journal of anesthesia analgesia and critical care,Q1,4.1
journal of anglican studies,,0.2
journal of animal and feed sciences,Q2,1.9
journal of animal and plant sciences japs,Q3,0.6
journal of animal behaviour and biometeorology,Q3,1.4
journal of animal breeding and genetics,Q2,1.9
journal of animal ecology,Q1,3.7
journal of animal physiology and animal nutrition,Q1,2.8
journal of animal science,Q1,3.7
journal of animal science and biotechnology,Q1,7.9
journal of animal science and technology,Q1,3.4
journal of anthropological archaeology,Q1,2
journal of anthropological research,Q3,0.9
journal of anthropological sciences,Q2,1.6
journal of antibiotics,Q3,2.7
journal of antimicrobial chemotherapy,Q1,4.1
journal of antitrust enforcement,Q2,1.2
journal of anxiety disorders,Q1,5
journal of aoac international,Q3,1.8
journal of apicultural research,Q2,1.9
journal of apicultural science,Q3,1.1
journal of applied accounting research,Q1,5.1
journal of applied analysis,Q4,0.7
journal of applied analysis and computation,Q2,1.5
journal of applied and computational mechanics,Q2,3.5
journal of applied and numerical analysis,Q4,0.5
journal of applied animal research,Q2,2
journal of applied animal welfare science,Q3,1.3
journal of applied aquaculture,Q3,1.5
journal of applied behavior analysis,Q1,3.4
journal of applied behavioral science,Q2,2.7
journal of applied biomaterials functional materials,Q2,2.9
journal of applied biomechanics,Q3,1.6
journal of applied biomedicine,Q3,1.9
journal of applied botany and food quality,Q4,0.8
journal of applied clinical medical physics,Q2,2.5
journal of applied communication research,Q2,1.7
journal of applied crystallography,Q2,2.7
journal of applied developmental psychology,Q2,2.5
journal of applied ecology,Q1,5.3
journal of applied econometrics,Q2,2.5
journal of applied economics,Q2,2.7
journal of applied economics and business research,Q4,0.5
journal of applied electrochemistry,Q3,3.7
journal of applied engineering sciences,Q4,0.8
journal of applied entomology,Q2,1.8
journal of applied fluid mechanics,Q3,1.7
journal of applied genetics,Q3,2.1
journal of applied geodesy,Q4,1.4
journal of applied geophysics,Q2,2.6
journal of applied gerontology,Q3,2
journal of applied glycoscience,Q4,1.5
journal of applied hermeneutics,,0.3
journal of applied ichthyology,Q3,1.6
journal of applied journalism media studies,Q4,0.5
journal of applied laboratory medicine,Q2,2.3
journal of applied logics ifcolog journal of logics and their applications,Q4,0.3
journal of applied mathematics,Q1,2
journal of applied mathematics and computational mechanics,Q1,1.5
journal of applied mathematics and computing,Q1,3
journal of applied mathematics informatics,Q4,0.5
journal of applied mathematics statistics and informatics,Q3,1
journal of applied mechanics and technical physics,Q4,0.8
journal of applied mechanics transactions of the asme,Q2,2.7
journal of applied meteorology and climatology,Q3,2.6
journal of applied microbiology,Q3,2.8
journal of applied nonlinear dynamics,Q3,0.8
journal of applied oral science,Q2,3
journal of applied philosophy,Q3,1.2
journal of applied phycology,Q1,3.6
journal of applied physics,Q3,2.7
journal of applied physiology,Q1,3.7
journal of applied polymer science,Q3,3.1
journal of applied poultry research,Q2,2.3
journal of applied probability,Q4,0.6
journal of applied psychology,Q1,6.7
journal of applied remote sensing,Q3,1.8
journal of applied research in higher education,Q2,1.8
journal of applied research in intellectual disabilities,Q2,2.2
journal of applied research in memory and cognition,Q2,2.4
journal of applied research on medicinal and aromatic plants,Q2,3.4
journal of applied school psychology,Q4,0.4
journal of applied science and engineering,Q3,0.8
journal of applied security research,Q1,2
journal of applied social psychology,Q2,2.6
journal of applied spectroscopy,Q4,0.7
journal of applied sport and exercise psychology zeitschrift fur sportpsychologie,Q4,0.4
journal of applied sport management,Q4,0.5
journal of applied sport psychology,Q1,3.6
journal of applied statistics,Q3,1.1
journal of applied toxicology,Q2,3.1
journal of applied water engineering and research,Q4,1
journal of approximation theory,Q3,0.7
journal of aquatic animal health,Q2,2.1
journal of aquatic food product technology,Q4,1.2
journal of aquatic plant management,Q4,0.4
journal of arab muslim media research,Q3,0.6
journal of arabic literature,,0.3
journal of arachnology,Q3,1
journal of archaeological method and theory,Q1,2.7
journal of archaeological research,Q1,5
journal of archaeological science,Q1,2.9
journal of archaeological science reports,,1.6
journal of architectural and planning research,Q1,6.3
journal of architectural conservation,,1.6
journal of architectural education,,0.3
journal of architectural engineering,Q3,2
journal of architecture,,0.7
journal of architecture and planning king saud university,Q4,0.3
journal of architecture and urbanism,,1
journal of argumentation in context,Q3,0.7
journal of arid environments,Q2,2.5
journal of arid land,Q3,3.4
journal of arrhythmia,Q3,1.9
journal of art history sanat tarihi yilligi,Q4,<0.1
journal of arthroplasty,Q1,4.4
journal of arthropod borne diseases,Q4,1.3
journal of artificial intelligence and soft computing research,Q2,5
journal of artificial intelligence research,Q2,4
journal of artificial organs,Q4,1.2
journal of arts management law and society,,1.2
journal of asia business studies,Q2,3.3
journal of asia pacific biodiversity,Q4,0.8
journal of asia pacific entomology,Q2,1.5
journal of asia pacific pop culture,,0.1
journal of asia tefl,Q4,0.4
journal of asian and african studies,Q2,1
journal of asian architecture and building engineering,Q2,2.6
journal of asian business and economic studies,Q1,3.2
journal of asian ceramic societies,Q3,1.8
journal of asian earth sciences,Q2,2.4
journal of asian earth sciences x,Q3,1.6
journal of asian economics,Q1,3.6
journal of asian history,Q3,0.2
journal of asian natural products research,Q3,1.6
journal of asian pacific communication,Q3,1
journal of asian public policy,Q1,2.9
journal of asian security and international affairs,Q3,1.1
journal of asian studies,Q2,0.8
journal of asset management,Q3,1.7
journal of assisted reproduction and genetics,Q2,2.8
journal of asthma,Q3,1.6
journal of asthma and allergy,Q2,3.3
journal of astronomical history and heritage,Q4,0.5
journal of astronomical instrumentation,Q3,1.5
journal of astronomical telescopes instruments and systems,Q3,1.5
journal of astronomy and earth sciences education,,N/A
journal of astronomy and space sciences,Q2,2.4
journal of astrophysics and astronomy,Q3,1.5
journal of atherosclerosis and thrombosis,Q2,3.4
journal of athletic training,Q2,2.6
journal of atmospheric and oceanic technology,Q3,2.3
journal of atmospheric and solar terrestrial physics,Q2,2.2
journal of atmospheric chemistry,Q3,2.8
journal of attention disorders,Q1,3.2
journal of audiology and otology,Q2,1.8
journal of australian political economy,Q3,0.8
journal of australian studies,Q1,0.5
journal of austrian studies,,0.3
journal of autism and developmental disorders,Q2,2.6
journal of autoimmunity,Q1,6.8
journal of automated reasoning,Q4,0.7
journal of avian biology,Q1,1.9
journal of avian medicine and surgery,Q4,0.5
journal of ayurveda and integrative medicine,Q2,2.1
journal of back and musculoskeletal rehabilitation,Q3,1.6
journal of bacteriology,Q2,3.8
journal of balkan and near eastern studies,Q2,1
journal of baltic science education,Q2,1.4
journal of baltic studies,Q3,0.6
journal of band research,,0.1
journal of banking and finance law and practice,Q4,<0.1
journal of banking finance,Q1,4
journal of banking regulation,Q3,1.7
journal of basic and applied zoology,Q3,1.7
journal of basic and clinical health sciences,Q4,0.4
journal of basic microbiology,Q3,3.3
journal of beckett studies,,0.3
journal of behavior therapy and experimental psychiatry,Q2,2.3
journal of behavioral addictions,Q1,6.3
journal of behavioral and cognitive therapy,Q2,2.3
journal of behavioral and experimental economics,Q3,1.5
journal of behavioral and experimental finance,Q1,3.9
journal of behavioral decision making,Q3,1.5
journal of behavioral education,Q3,1.3
journal of behavioral finance,Q2,1.7
